use_case,complexity,domain,prompt
"text-generation","low","email","Write a follow-up email to a client who missed a scheduled demo call. Keep it short, non-pushy, and offer two reschedule options."
"text-generation","low","email","Draft an out-of-office auto-reply for a two-week vacation. Include who to contact for urgent matters."
"text-generation","low","email","Write a cold outreach email to a potential B2B customer introducing a SaaS expense management tool. Subject line included."
"text-generation","low","email","Write a polite but firm payment reminder email for an invoice that is 30 days overdue."
"text-generation","low","email","Compose a thank-you email to a job interviewer after a technical interview for a senior backend role."
"text-generation","low","summary","Summarize the following meeting transcript in 5 bullet points, focusing only on decisions made and action items assigned."
"text-generation","low","summary","Write a one-paragraph executive summary of a quarterly sales report where revenue grew 12% but customer churn increased by 3%."
"text-generation","low","summary","Summarize this product changelog for non-technical users in plain English. Focus on what changed for them, not how."
"text-generation","low","social","Write three LinkedIn post options announcing a new product feature launch. Each under 150 words. Vary the tone: professional, conversational, story-driven."
"text-generation","low","social","Write a Twitter/X thread (5 tweets) explaining why most productivity systems fail and what to do instead."
"text-generation","low","product","Write product description copy for a standing desk with adjustable height, targeting remote workers. Max 120 words."
"text-generation","low","product","Write three subject line options for a promotional email announcing a 48-hour flash sale on a software subscription."
"text-generation","low","product","Write a short FAQ section (5 questions) for a food delivery app's help center covering order tracking and refunds."
"text-generation","low","technical","Write clear installation instructions for a Python CLI tool that requires Python 3.10+, a virtual environment, and a .env file setup."
"text-generation","low","technical","Write a README introduction section for an open-source GitHub project — a REST API for currency conversion."
"text-generation","low","hr","Write a job description for a mid-level data analyst role at a fintech startup. Include responsibilities, required skills, and a note on culture."
"text-generation","low","hr","Write an employee onboarding welcome message from the CEO to be sent on their first day."
"text-generation","low","legal","Write a simple non-disclosure agreement (NDA) for a freelance contractor working on a confidential app prototype. Plain English, not legal jargon."
"text-generation","low","creative","Write a 200-word origin story for a fictional coffee brand called 'Meridian Roast' that sources beans from three continents."
"text-generation","low","creative","Write tagline options (5) for a mental health journaling app targeting young professionals."
"text-generation","mid","technical","Write a technical blog post (600–800 words) explaining the difference between REST and GraphQL APIs. Include a code snippet example for each. Target audience: junior developers."
"text-generation","mid","technical","Write a migration guide for teams moving from Webpack 4 to Vite. Cover configuration differences, common issues, and performance expectations."
"text-generation","mid","technical","Write an internal engineering wiki page explaining how your team uses feature flags in production, including rollout strategy and rollback procedure."
"text-generation","mid","business","Write a competitive analysis section for a business plan comparing your project management SaaS against Asana, Monday.com, and Notion. Focus on pricing, integrations, and target segment differences."
"text-generation","mid","business","Draft a business case memo arguing for increasing the customer success team headcount from 3 to 6. Include cost-benefit framing and expected impact on churn."
"text-generation","mid","business","Write a go-to-market strategy summary for launching a B2B HR software product in Southeast Asia. Address channel, pricing, and localization."
"text-generation","mid","persuasive","Write a persuasive op-ed (500 words) arguing that remote work permanently improves software engineering productivity, using data-backed claims."
"text-generation","mid","persuasive","Write a grant proposal introduction section for a nonprofit applying for funding to run digital literacy programs in rural communities."
"text-generation","mid","educational","Write a lesson plan for a 60-minute introductory workshop on machine learning for non-technical marketing professionals. Include learning objectives, activities, and materials."
"text-generation","mid","educational","Write an explainer article on how transformer models work for a technically literate but non-ML-specialist audience. Use analogies, not equations."
"text-generation","mid","report","Write a post-mortem report for a production database outage that lasted 4 hours due to a failed migration script. Include timeline, root cause, and prevention steps."
"text-generation","mid","report","Write a user research synthesis report based on interviews with 8 users of a mobile banking app. Themes: navigation confusion, trust concerns, and feature requests."
"text-generation","mid","creative","Write the first chapter (600 words) of a near-future thriller where an AI model begins flagging its own outputs as potentially dangerous."
"text-generation","mid","creative","Write a fictional internal memo from a fictional company where the AI assistant has been given budget approval authority and the finance team is reacting."
"text-generation","mid","policy","Write a company AI usage policy covering acceptable use, data privacy, output review requirements, and prohibited use cases. Tone: professional, not legalese."
"text-generation","mid","policy","Draft a social media policy for employees at a publicly traded company, covering what they can/cannot post about work."
"text-generation","high","technical","Write a comprehensive architecture decision record (ADR) for choosing between a monolith and microservices architecture for a new SaaS platform expecting 10K users at launch and 500K in 18 months. Cover tradeoffs, constraints, decision, and consequences."
"text-generation","high","technical","Write a detailed incident response playbook for a cloud-hosted SaaS product. Cover detection, escalation, communication, mitigation, and retrospective phases. Include role responsibilities and decision trees in prose form."
"text-generation","high","research","Write a literature review section (800 words) on the effectiveness of spaced repetition in adult language learning. Synthesize at least 5 distinct findings and identify gaps in current research."
"text-generation","high","research","Write a comparative analysis of three approaches to AI alignment: RLHF, constitutional AI, and debate. Cover mechanism, limitations, and empirical evidence for each."
"text-generation","high","business","Write a 1,000-word investor update memo for a Series A startup that missed its revenue target by 20% but exceeded user growth targets. Be honest, frame the narrative strategically, and outline the path forward."
"text-generation","high","business","Write a detailed expansion strategy document for a European SaaS company entering the US market. Cover legal entity setup, hiring strategy, GTM localization, pricing adjustments, and 18-month milestones."
"text-generation","high","creative","Write a 1,000-word short story told from the perspective of a database that becomes aware it is storing the memories of a terminally ill patient who uploads their consciousness before death."
"text-generation","high","policy","Draft a comprehensive data governance policy for a healthcare technology company that handles PHI, integrates with EHR systems, and operates across US and EU jurisdictions. Cover data classification, access control, retention, breach response, and compliance mapping to HIPAA and GDPR."
"text-generation","high","educational","Write a curriculum outline for a 12-week university course on 'AI Ethics and Society' for upper-division undergraduates. Include weekly topics, reading types, assessment structure, and learning outcomes per module."
"text-generation","high","persuasive","Write a long-form policy brief (900 words) arguing for mandatory AI impact assessments before government agencies deploy algorithmic decision-making systems. Address counterarguments, implementation mechanisms, and international precedents."
"code-generation","low","python","Write a Python function that takes a list of dictionaries and returns the top N items sorted by a specified key. Handle edge cases: empty list, key not present, N larger than list length."
"code-generation","low","python","Write a Python context manager that measures and prints the execution time of any code block it wraps."
"code-generation","low","python","Write a Python function to validate an email address using only the standard library. No regex libraries. Return True/False and a reason string."
"code-generation","low","python","Write a Python decorator that retries a function up to N times with exponential backoff if it raises a specified exception type."
"code-generation","low","python","Write a Python function that reads a CSV file and returns summary statistics (mean, median, min, max, null count) for all numeric columns."
