id,prompt,use_case,clarity,created_at
21,Find two indices whose sum equals target using hashmap,code-generation,CLEAR,2026-03-25 17:12:12.338078+00
22,Best time to buy and sell stock for maximum profit,code-generation,CLEAR,2026-03-25 17:12:12.64612+00
23,Check if a string is a palindrome ignoring non-alphanumeric,code-generation,CLEAR,2026-03-25 17:12:12.941696+00
24,Remove duplicates from sorted array in place and return length,code-generation,CLEAR,2026-03-25 17:12:13.23088+00
25,Merge two sorted arrays into a single sorted array,code-generation,CLEAR,2026-03-25 17:12:13.518972+00
26,Write a short paragraph describing your favorite place and why you like it,text-generation,CLEAR,2026-03-25 17:12:31.891075+00
27,Create a brief message inviting a friend to your birthday party with time and location included,text-generation,CLEAR,2026-03-25 17:12:32.271777+00
28,Write a simple email asking your teacher for leave for one day due to illness,text-generation,CLEAR,2026-03-25 17:12:32.660551+00
29,Generate a short story about a child who finds a lost wallet and returns it,text-generation,CLEAR,2026-03-25 17:12:33.325659+00
30,Write a paragraph explaining why drinking water is important for health,text-generation,CLEAR,2026-03-25 17:12:33.706304+00
36,Return unique intersection of two arrays,code-generation,CLEAR,2026-03-25 17:17:51.875423+00
37,Move all zeroes to the end maintaining order,code-generation,CLEAR,2026-03-25 17:17:52.180919+00
38,Find missing number in range 0 to n using XOR,code-generation,CLEAR,2026-03-25 17:17:52.459747+00
39,Implement binary search in sorted array,code-generation,CLEAR,2026-03-25 17:17:52.737367+00
40,Validate parentheses string using stack,code-generation,CLEAR,2026-03-25 17:17:53.265971+00
41,Create a short thank-you note for someone who helped you complete a task,text-generation,CLEAR,2026-03-25 17:18:36.802894+00
42,Write a description of a rainy day including how it feels and looks,text-generation,CLEAR,2026-03-25 17:18:37.234134+00
43,Generate a message congratulating a friend on passing an exam,text-generation,CLEAR,2026-03-25 17:18:37.621086+00
44,Write a paragraph about your daily routine from morning to evening,text-generation,CLEAR,2026-03-25 17:18:38.02615+00
45,Create a short explanation of why teamwork is important in school projects,text-generation,CLEAR,2026-03-25 17:18:38.567207+00
46,Reverse a string in place,code-generation,CLEAR,2026-03-25 17:19:04.190256+00
47,Find first unique character in a string,code-generation,CLEAR,2026-03-25 17:19:04.486332+00
48,Find majority element using Boyer-Moore voting,code-generation,CLEAR,2026-03-25 17:19:04.768075+00
49,Check if array contains duplicates,code-generation,CLEAR,2026-03-25 17:19:05.059756+00
50,Find single number using XOR,code-generation,CLEAR,2026-03-25 17:19:05.340736+00
51,Find any peak element index in array,code-generation,CLEAR,2026-03-25 17:23:29.139595+00
52,Count ways to climb stairs with 1 or 2 steps,code-generation,CLEAR,2026-03-25 17:23:29.507009+00
53,Design a stack supporting getMin in O(1),code-generation,CLEAR,2026-03-25 17:23:29.814508+00
54,Implement queue using two stacks,code-generation,CLEAR,2026-03-25 17:23:30.115503+00
55,Implement stack using two queues,code-generation,CLEAR,2026-03-25 17:23:30.406396+00
56,Write a message inviting someone to a casual lunch this weekend,text-generation,PARTIAL,2026-03-25 17:23:38.662841+00
57,Create a paragraph about your favorite activity and what you do in it,text-generation,PARTIAL,2026-03-25 17:23:38.981751+00
58,Write a short explanation about why people should exercise regularly,text-generation,PARTIAL,2026-03-25 17:23:39.375083+00
59,Generate a small story about helping someone in need,text-generation,PARTIAL,2026-03-25 17:23:39.78708+00
60,Write a paragraph describing your favorite food,text-generation,PARTIAL,2026-03-25 17:23:40.091068+00
61,Check if linked list is palindrome,code-generation,CLEAR,2026-03-25 17:29:17.359042+00
62,Reverse singly linked list iteratively,code-generation,CLEAR,2026-03-25 17:29:17.713133+00
63,Merge two sorted linked lists,code-generation,CLEAR,2026-03-25 17:29:17.99699+00
64,Find middle of linked list using slow-fast pointers,code-generation,CLEAR,2026-03-25 17:29:18.275063+00
65,Detect cycle in linked list using Floyd algorithm,code-generation,CLEAR,2026-03-25 17:29:18.561449+00
66,Create a simple note asking someone to call you back,text-generation,PARTIAL,2026-03-25 17:32:19.995683+00
67,Write a message wishing someone good luck for something,text-generation,PARTIAL,2026-03-25 17:32:21.859991+00
68,Generate a paragraph about a happy memory,text-generation,PARTIAL,2026-03-25 17:32:23.706913+00
69,Write a short explanation about saving money,text-generation,PARTIAL,2026-03-25 17:32:25.706243+00
70,Create a paragraph about a trip you enjoyed,text-generation,PARTIAL,2026-03-25 17:32:27.138626+00
71,Invert a binary tree,code-generation,CLEAR,2026-03-25 17:32:40.833809+00
72,Find maximum depth of binary tree,code-generation,CLEAR,2026-03-25 17:32:41.125719+00
73,Check if two binary trees are identical,code-generation,CLEAR,2026-03-25 17:32:41.404404+00
74,Check if binary tree is symmetric,code-generation,CLEAR,2026-03-25 17:32:41.685827+00
75,Perform inorder traversal of binary tree,code-generation,CLEAR,2026-03-25 17:32:41.972751+00
76,Find any peak element index in array,code-generation,CLEAR,2026-03-25 17:34:53.22511+00
77,Count ways to climb stairs with 1 or 2 steps,code-generation,CLEAR,2026-03-25 17:34:53.518857+00
78,Design a stack supporting getMin in O(1),code-generation,CLEAR,2026-03-25 17:34:53.803417+00
79,Implement queue using two stacks,code-generation,CLEAR,2026-03-25 17:34:54.085811+00
80,Implement stack using two queues,code-generation,CLEAR,2026-03-25 17:34:54.378705+00
81,Write something about a place you like,text-generation,UNCLEAR,2026-03-25 17:40:18.347482+00
82,Create a message about meeting someone,text-generation,UNCLEAR,2026-03-25 17:40:18.964987+00
83,Write a story about something good happening,text-generation,UNCLEAR,2026-03-25 17:40:19.352944+00
84,Generate a paragraph about a day,text-generation,UNCLEAR,2026-03-25 17:40:19.755601+00
85,Write something about food,text-generation,UNCLEAR,2026-03-25 17:40:20.258122+00
86,Perform preorder traversal of binary tree,code-generation,CLEAR,2026-03-25 17:51:49.863952+00
87,Perform postorder traversal of binary tree,code-generation,CLEAR,2026-03-25 17:51:50.317915+00
88,Compute range sum in BST,code-generation,CLEAR,2026-03-25 17:51:50.622064+00
89,Search a value in BST,code-generation,CLEAR,2026-03-25 17:51:50.990979+00
90,Insert a node into BST,code-generation,CLEAR,2026-03-25 17:51:51.288369+00
91,Write a paragraph explaining why education matters with at least two reasons,text-generation,CLEAR,2026-03-25 17:59:10.508982+00
92,Create a message inviting classmates to a group study session tomorrow evening,text-generation,CLEAR,2026-03-25 17:59:10.985924+00
93,Write a short email requesting notes from a missed class due to absence,text-generation,CLEAR,2026-03-25 17:59:11.334029+00
94,Generate a short story about a student learning a valuable lesson from failure,text-generation,CLEAR,2026-03-25 17:59:11.756554+00
95,Write a paragraph describing your favorite festival and how it is celebrated,text-generation,CLEAR,2026-03-25 17:59:12.15958+00
96,Create a thank-you message for receiving a gift from a friend,text-generation,CLEAR,2026-03-25 18:03:51.53154+00
97,Write a short explanation of why honesty is important in friendships,text-generation,CLEAR,2026-03-25 18:03:52.069332+00
98,Generate a paragraph about the importance of time management in daily life,text-generation,CLEAR,2026-03-25 18:03:52.438076+00
99,Write a description of a busy market including sounds and activities,text-generation,CLEAR,2026-03-25 18:03:52.874933+00
100,Create a short note reminding someone about an upcoming meeting tomorrow,text-generation,CLEAR,2026-03-25 18:03:53.262985+00
101,Find minimum value in BST,code-generation,CLEAR,2026-03-25 18:05:18.565608+00
102,Find maximum value in BST,code-generation,CLEAR,2026-03-25 18:05:18.863711+00
103,Find LCA in BST,code-generation,CLEAR,2026-03-25 18:05:19.153215+00
104,Count nodes in complete binary tree,code-generation,CLEAR,2026-03-25 18:05:19.434894+00
105,Compute average of levels in binary tree,code-generation,CLEAR,2026-03-25 18:05:19.723653+00
106,Write a short explanation of why honesty is important in friendships,text-generation,CLEAR,2026-03-25 18:09:56.432986+00
107,Generate a paragraph about the importance of time management in daily life,text-generation,CLEAR,2026-03-25 18:09:56.898547+00
108,Write a description of a busy market including sounds and activities,text-generation,CLEAR,2026-03-25 18:09:57.275628+00
109,Create a short note reminding someone about an upcoming meeting tomorrow,text-generation,CLEAR,2026-03-25 18:09:57.718079+00
110,Write a message inviting someone to hang out,text-generation,PARTIAL,2026-03-25 18:13:35.065041+00
111,Create a paragraph about something fun you did,text-generation,PARTIAL,2026-03-25 18:13:35.496365+00
112,Write a short explanation of why rules are needed,text-generation,PARTIAL,2026-03-25 18:13:35.9011+00
113,Generate a small story about making a mistake,text-generation,PARTIAL,2026-03-25 18:13:36.376605+00
114,Write a paragraph about a teacher you like,text-generation,PARTIAL,2026-03-25 18:13:36.682823+00
115,Create a simple note asking for help,text-generation,PARTIAL,2026-03-25 18:18:46.576369+00
116,Write a message wishing someone well,text-generation,PARTIAL,2026-03-25 18:18:47.022659+00
117,Generate a paragraph about a weekend,text-generation,PARTIAL,2026-03-25 18:18:47.398963+00
118,Write a short explanation about being kind,text-generation,PARTIAL,2026-03-25 18:18:47.763919+00
119,Create a paragraph about a game,text-generation,PARTIAL,2026-03-25 18:18:48.222779+00
120,Apply flood fill algorithm on grid,text-generation,CLEAR,2026-03-25 18:23:40.302302+00
121,Count number of islands in grid,text-generation,CLEAR,2026-03-25 18:23:40.725724+00
122,Find the town judge,text-generation,CLEAR,2026-03-25 18:23:41.033216+00
123,Find center of star graph,text-generation,CLEAR,2026-03-25 18:23:41.340907+00
124,Check if two strings are anagrams,text-generation,CLEAR,2026-03-25 18:23:41.645528+00
125,Compute integer square root using binary search,code-generation,CLEAR,2026-03-25 18:25:26.332378+00
126,Guess number using binary search API,code-generation,CLEAR,2026-03-25 18:25:26.619854+00
127,Find pivot index of array,code-generation,CLEAR,2026-03-25 18:25:26.895837+00
128,Compute running sum of array,code-generation,CLEAR,2026-03-25 18:25:27.174961+00
129,Find richest customer wealth,code-generation,CLEAR,2026-03-25 18:25:27.461183+00
130,Create a short message about something,text-generation,UNCLEAR,2026-03-25 18:25:42.03034+00
131,Write a paragraph about something good,text-generation,UNCLEAR,2026-03-25 18:25:42.424148+00
132,Generate a story without details,text-generation,UNCLEAR,2026-03-25 18:25:42.82632+00
