id,prompt,intent,task_type,reasoning_chain_detected,d1,d2,d3,d4,d5,complexity_score,tier,complexity,original_complexity,research_signals,confidence,low_confidence_flag,task_description,expected_answer,prompting_techniques,prompt_type,phrasing_style,domain,source
aug_v3_t3_001,"Create a complete implementation package for healthcare AI. It must include an executive summary, target-state architecture, operating model, roadmap, RACI, risk register, and migration plan covering HIPAA, model risk, and clinical safety. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 1: emphasize operating model.",STRATEGIC,generation,True,1.0,1.0,0.75,1.0,0.75,0.925,T3,high,,"[""regulatory_compliance"", ""security"", ""ai_governance""]",,False,Phase2-style T3 prompt for healthcare AI,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_002,"Design Python pseudocode and SQL validation checks for healthcare AI. The solution must process governance evidence, score risk, generate audit-ready reports, and handle edge cases involving HIPAA, model risk, and clinical safety. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 2: emphasize risk quantification.",SYNTHETIC,coding,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""regulatory_compliance"", ""security"", ""ai_governance""]",,False,Phase2-style T3 prompt for healthcare AI,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_003,"Reformat the raw policy notes for healthcare AI into a strict JSON schema plus a markdown executive summary. Preserve all controls, exceptions, owners, dates, and evidence fields related to HIPAA, model risk, and clinical safety. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 3: emphasize vendor tradeoffs.",STRATEGIC,formatting,True,1.0,1.0,1.0,1.0,1.0,1.0,T3,high,,"[""regulatory_compliance"", ""security"", ""ai_governance""]",,False,Phase2-style T3 prompt for healthcare AI,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_004,"Design a strategic recommendation for healthcare AI. The board needs a decision memo that synthesizes HIPAA, model risk, and clinical safety. Include options, tradeoffs, phased risks, success metrics, and a final recommendation. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 4: emphasize timeline sequencing.",STRATEGIC,reasoning,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""regulatory_compliance"", ""security"", ""ai_governance""]",,False,Phase2-style T3 prompt for healthcare AI,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_005,"Summarize the attached executive packet for healthcare AI, then turn it into a board-ready brief. The packet covers HIPAA, model risk, and clinical safety. Include key decisions, unresolved risks, evidence gaps, and recommended next actions. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 5: emphasize governance controls.",STRATEGIC,summarisation,True,1.0,0.75,0.75,1.0,1.0,0.9,T3,high,,"[""regulatory_compliance"", ""security"", ""ai_governance""]",,False,Phase2-style T3 prompt for healthcare AI,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_006,"Classify the following portfolio items for healthcare AI into risk tiers and investment priorities. Explain the criteria and apply them to examples involving HIPAA, model risk, and clinical safety. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 6: emphasize operating model.",STRATEGIC,classification,True,1.0,1.0,0.75,1.0,0.75,0.925,T3,high,,"[""regulatory_compliance"", ""security"", ""ai_governance""]",,False,Phase2-style T3 prompt for healthcare AI,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_007,"Generate SPARQL queries for a knowledge graph about healthcare AI. The ontology includes vendors, controls, risks, systems, owners, and evidence related to HIPAA, model risk, and clinical safety. Include prefixes and explain each query. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 7: emphasize risk quantification.",SYNTHETIC,sparql_generation,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""regulatory_compliance"", ""security"", ""ai_governance""]",,False,Phase2-style T3 prompt for healthcare AI,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_008,"Create a complete implementation package for healthcare AI. It must include an executive summary, target-state architecture, operating model, roadmap, RACI, risk register, and migration plan covering HIPAA, model risk, and clinical safety. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 8: emphasize vendor tradeoffs.",STRATEGIC,generation,True,1.0,1.0,1.0,1.0,1.0,1.0,T3,high,,"[""regulatory_compliance"", ""security"", ""ai_governance""]",,False,Phase2-style T3 prompt for healthcare AI,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_009,"Design Python pseudocode and SQL validation checks for healthcare AI. The solution must process governance evidence, score risk, generate audit-ready reports, and handle edge cases involving HIPAA, model risk, and clinical safety. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 9: emphasize timeline sequencing.",STRATEGIC,coding,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""regulatory_compliance"", ""security"", ""ai_governance""]",,False,Phase2-style T3 prompt for healthcare AI,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_010,"Reformat the raw policy notes for healthcare AI into a strict JSON schema plus a markdown executive summary. Preserve all controls, exceptions, owners, dates, and evidence fields related to HIPAA, model risk, and clinical safety. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 10: emphasize governance controls.",STRATEGIC,formatting,True,1.0,0.75,0.75,1.0,1.0,0.9,T3,high,,"[""regulatory_compliance"", ""security"", ""ai_governance""]",,False,Phase2-style T3 prompt for healthcare AI,,,AUGMENTED_T3,,,aug_v3
