id,prompt,phrasing_style,domain,d1,d2,d3,d4,d5
day2_t1_gap_001,what does mqtt stand for and why do iot devices use it instead of http,explicit,IoT & Smart Factory,0.25,0.5,0.25,0,0
day2_t1_gap_002,"the syslog file attached is showing error code 0x4F on the assembly arm PLC, what does that mean",implicit,IoT & Smart Factory,0,0.5,0,0.25,0.25
day2_t1_gap_003,modbus rtu vs modbus tcp what is the main difference,vague,IoT & Smart Factory,0.25,0.5,0.25,0,0
day2_t1_gap_004,how do I reboot a generic smart sensor if it loses factory network connection,explicit,IoT & Smart Factory,0,0.25,0.25,0,0
day2_t1_gap_005,"our factory floor monitors are lagging compared to the control room, are we supposed to use websockets or long polling for this",implicit,IoT & Smart Factory,0.25,0.5,0,0,0
day2_t1_gap_006,why is my smart gateway blinking red twice,vague,IoT & Smart Factory,0,0.25,0,0,0
day2_t1_gap_007,"based on the factory sensor log attached, what was the highest recorded temperature of the cnc machine yesterday",explicit,IoT & Smart Factory,0,0.5,0.25,0.25,0.25
day2_t1_gap_008,"shop floor tablets losing signal, 2.4ghz or 5ghz wifi",vague,IoT & Smart Factory,0.25,0.25,0,0,0
day2_t1_gap_009,wifi vs ethernet for factory floor cnc machines pros cons list,vague,IoT & Smart Factory,0.25,0.25,0.25,0,0
day2_t1_gap_010,"look at this screenshot of the SCADA dashboard, which sensor is currently reporting an offline state",implicit,IoT & Smart Factory,0,0.5,0,0.25,0.25
day2_t1_gap_011,what is the difference between bounce rate and exit rate in google analytics 4,explicit,Marketing Tech,0.25,0.5,0.25,0,0
day2_t1_gap_012,"our hubspot workflow failed on several leads last night, looking at the lead history attached, why did it stop at step 3",implicit,Marketing Tech,0,0.5,0,0.25,0.25
day2_t1_gap_013,whats the standard size for a linkedin banner,vague,Marketing Tech,0,0.25,0,0,0
day2_t1_gap_014,what is the difference between first-click and last-click attribution models in google analytics 4,explicit,Marketing Tech,0.25,0.5,0.25,0,0
day2_t1_gap_015,"sales emails going to spam, fix spf or dkim first",vague,Marketing Tech,0.25,0.25,0.25,0,0
day2_t1_gap_016,"hubspot contacts vs mailchimp subscribers, what is the core structural difference",vague,Marketing Tech,0.25,0.25,0.25,0,0
day2_t1_gap_017,"I've attached our active campaign schema, where is the tag field defined in this payload",implicit,Marketing Tech,0,0.5,0,0.25,0.25
day2_t1_gap_018,what is the difference between ltl and ftl shipping in logistics,explicit,Supply Chain,0.25,0.5,0.25,0,0
day2_t1_gap_019,"we have a shipping delay warning on order 94827, can you look at this tracking history screenshot and tell me where the container is stuck",implicit,Supply Chain,0,0.5,0,0.25,0.25
day2_t1_gap_020,what does sku stand for in warehouse management,vague,Supply Chain,0,0.25,0,0,0
day2_t1_gap_021,how does sap ewm calculate the storage bin capacity for standard pallets,explicit,Supply Chain,0,0.5,0.25,0,0
day2_t1_gap_022,"our supplier is offering exw terms but our shipping department prefers fob, looking at the contract draft with exw terms attached, which one leaves us with less transport liability",implicit,Supply Chain,0.25,0.25,0,0.25,0.25
day2_t1_gap_023,fifo vs lifo inventory valuation differences,vague,Supply Chain,0.25,0.25,0.25,0,0
day2_t1_gap_024,"using the manifest spreadsheet attached, find the total quantity of item code 4022 shipped to the rotterdam warehouse",explicit,Supply Chain,0,0.5,0,0.25,0.25
day2_t1_gap_025,"our logistics partner sent an edi 810 instead of an edi 850, can you explain how these two transactions differ so I can fix our automated import",implicit,Supply Chain,0.25,0.5,0.25,0,0
day2_t1_gap_026,who is the current VP of human resources at our company,explicit,General Enterprise,0,0,0,0,0
day2_t1_gap_027,"I received the invoice attached for office supplies last week, where do I upload it to get reimbursement",implicit,General Enterprise,0,0,0,0.25,0.25
day2_t1_gap_028,"hmo vs ppo health insurance plans, which has lower copays",vague,General Enterprise,0.25,0,0.25,0,0
day2_t1_gap_029,what is the difference between sick leave and short-term disability policy at our firm,explicit,General Enterprise,0.25,0,0.25,0,0
day2_t1_gap_030,"I need to request paternity leave but my manager says I have to use standard PTO first, can you check if that matches our company rules",implicit,General Enterprise,0.25,0,0,0,0
day2_t1_gap_031,where do I find the office kitchen cleaning schedule,vague,General Enterprise,0,0,0,0,0
day2_t1_gap_032,"looking at the company calendar PDF I attached, what are the official company holidays for the month of December",explicit,General Enterprise,0,0,0.25,0.25,0.25
day2_t1_gap_033,"I'm planning an offsite team lunch next Thursday, can you list the steps to submit a pre-approval request in the expense system",implicit,General Enterprise,0,0,0.25,0,0
day2_t1_gap_034,casual vs business casual dress code rules,vague,General Enterprise,0.25,0,0,0,0
