prompt,use_case,group,csv_model,model_used,recommended_model,recommendation_mode,eval_llama4_score,eval_mistral_score,eval_nova_score,avg_accuracy_score,score_stdev,latency_ms,cost
Write a Python function that finds the longest palindromic substring in a given string,code-generation,B,llama3-3-70b,devstral-2,devstral-2,semantic_best_value,98.0,95.0,98.0,97.0,1.73,9579,0.001685
Implement a rate limiter using the token bucket algorithm in Python,code-generation,A,nova-pro,nova-pro,,,98.0,95.0,95.0,96.0,1.73,9300,0.003037
Write a recursive descent parser for simple arithmetic expressions (+-*/) in Python,code-generation,A,llama4-maverick,llama4-maverick,,,100.0,95.0,95.0,96.67,2.89,5234,0.000936
Create a Python decorator that retries a function up to N times with exponential backoff,code-generation,A,llama3-3-70b,llama3-3-70b,,,92.0,95.0,95.0,94.0,1.73,4543,0.000508
Write a SQL query to find employees who earn more than their department average,code-generation,B,llama3-3-70b,ministral-3-8b,ministral-3-8b,semantic_best_value,98.0,95.0,98.0,97.0,1.73,1895,0.000106
Implement a LRU cache from scratch in Python without using functools,code-generation,B,nova-pro,devstral-2,devstral-2,semantic_best_value,100.0,95.0,98.0,97.67,2.52,15511,0.003089
Write a Python async function to download multiple URLs concurrently with a connection pool limit of 5,code-generation,B,llama3-3-70b,ministral-3-8b,ministral-3-8b,semantic_best_value,98.0,95.0,92.0,95.0,3.0,4048,0.000255
Generate a Dockerfile for a FastAPI app with multi-stage build and non-root user,code-generation,A,llama4-maverick,llama4-maverick,,,98.0,95.0,98.0,97.0,1.73,3825,0.000651
Write a Python function to detect cycles in a directed graph using DFS,code-generation,A,llama3-3-70b,llama3-3-70b,,,98.0,95.0,98.0,97.0,1.73,4111,0.000645
Create a REST API endpoint in FastAPI that handles file uploads with size validation and virus scanning,code-generation,A,llama3-3-70b,llama3-3-70b,,,95.0,90.0,90.0,91.67,2.89,4372,0.000566
Implement merge sort in Python and explain the time/space complexity in comments,code-generation,A,nova-pro,nova-pro,,,95.0,95.0,92.0,94.0,1.73,6717,0.002165
Write a Python context manager that provides a database transaction with automatic rollback on error,code-generation,B,llama3-3-70b,ministral-3-8b,ministral-3-8b,semantic_best_value,87.0,90.0,72.0,83.0,9.64,4597,0.000309
Build a simple pub/sub message broker class in Python with topic-based routing,code-generation,A,llama4-maverick,llama4-maverick,,,95.0,95.0,95.0,95.0,0.0,2893,0.00067
Write a bash one-liner to find the 10 largest files in the current directory tree and their sizes,code-generation,A,llama3-3-70b,llama3-3-70b,,,98.0,100.0,88.0,95.33,6.43,2342,0.000226
Create a Python generator that yields fibonacci numbers lazily without recursion,code-generation,B,llama3-3-70b,ministral-3-8b,ministral-3-8b,semantic_best_value,98.0,95.0,97.0,96.67,1.53,1621,8.7e-05
Explain the CAP theorem and why it matters for distributed database design,reasoning,B,nova-pro,nova-pro,nova-pro,semantic_best_value,98.0,95.0,95.0,96.0,1.73,8399,0.001968
What are the tradeoffs between optimistic and pessimistic locking in concurrent systems?,reasoning,A,llama4-maverick,llama4-maverick,,,95.0,95.0,95.0,95.0,0.0,4212,0.000611
A company can either invest $100K in project A with 60% chance of $200K return or project B with 30% chance of $500K return. Which is better and why?,reasoning,B,llama3-3-70b,nova-pro,nova-pro,semantic_best_value,98.0,100.0,95.0,97.67,2.52,1632,0.001034
Compare event-driven architecture vs request-response for a real-time trading platform. Which would you choose?,reasoning,B,llama3-3-70b,nova-pro,nova-pro,semantic_best_value,100.0,95.0,92.0,95.67,4.04,6351,0.002264
Why does TCP use a three-way handshake instead of a two-way handshake? What would break?,reasoning,A,nova-pro,nova-pro,,,95.0,95.0,92.0,94.0,1.73,6032,0.001722
Is it possible to build a system that is both strongly consistent and highly available during network partitions? Justify your answer,reasoning,B,llama3-3-70b,nova-pro,nova-pro,semantic_best_value,95.0,98.0,95.0,96.0,1.73,4975,0.001474
Explain why B-trees are preferred over binary search trees for database indexing on disk,reasoning,B,llama4-maverick,nova-pro,nova-pro,semantic_best_value,98.0,95.0,98.0,97.0,1.73,5384,0.002685
A sorting algorithm runs in O(n log n) average case but O(n^2) worst case. Under what conditions would you still prefer it over a guaranteed O(n log n) algorithm?,reasoning,A,llama3-3-70b,llama3-3-70b,,,95.0,95.0,92.0,94.0,1.73,4584,0.000448
What happens when you type a URL into a browser and press Enter? Explain each step from DNS to rendering,reasoning,A,llama3-3-70b,llama3-3-70b,,,95.0,95.0,88.0,92.67,4.04,6398,0.00076
Compare microservices vs monolith for a startup with 3 engineers building an MVP. What would you recommend?,reasoning,B,nova-pro,nova-pro,nova-pro,semantic_best_value,95.0,95.0,92.0,94.0,1.73,4000,0.002151
