prompt,use_case,prompt_complexity,clarity,old_prompt_complexity,complexity_reason,label_source
"A 500-page book has words distributed across pages such that the first half averages 280 words per page and the second half averages 320 words per page. Estimate the total word count. If a reader reads at 250 words per minute for 45 minutes per day, how many days will it take to finish the book? Show each step and flag any assumptions.",reasoning,mid,CLEAR,mid,"This prompt requires multi-step reasoning: calculating total words based on averages, then determining reading time in days, and showing all steps and assumptions. The steps are clear and bounded, but require chaining calculations and explicit reasoning.",openai:gpt-4.1
"A bag contains 5 red, 4 blue, and 3 green balls. Two balls are drawn without replacement. What is the probability that both balls are the same colour? Show the calculation for each colour and sum the probabilities correctly.",reasoning,mid,CLEAR,mid,"The prompt involves probability with multiple cases (each color), summing probabilities, and showing calculations. It requires moderate reasoning and careful handling of cases, but is not deeply complex.",openai:gpt-4.1
A bag contains only red and blue balls. The ratio of red to blue is 3:5. There are 24 red balls. How many blue balls are there and what is the total number of balls? Explain the ratio reasoning.,reasoning,low,CLEAR,low,This is a straightforward ratio problem with direct calculation and explanation. Only basic reasoning is required.,openai:gpt-4.1
"A ball is dropped from 80 metres. Each time it bounces, it reaches half the height of the previous bounce. What is the total height the ball travels after 4 bounces including the initial drop? Add up the distances step by step.",reasoning,low,CLEAR,low,The prompt involves a simple geometric sequence and step-by-step addition. The reasoning is direct and bounded.,openai:gpt-4.1
A bookshelf has 5 shelves. Each shelf holds 24 books. Currently 87 books are on the shelf. How many more books can fit? Is there enough space for 40 more books? Reason through both questions.,reasoning,low,CLEAR,low,This is a basic arithmetic and reasoning problem with two direct questions. The logic is simple and the steps are clear.,openai:gpt-4.1
"A box contains 6 white and 4 black socks. In a dark room, what is the minimum number of socks you must take to guarantee at least one matching pair? Now answer the same for guaranteeing one pair of each colour. Use worst-case logical reasoning in both cases.",reasoning,mid,CLEAR,mid,"The prompt requires worst-case logical reasoning for two scenarios, including combinatorial thinking. It is more involved than a direct calculation but not highly complex.",openai:gpt-4.1
"A box has 3 red, 4 green, and 5 blue pens. You draw pens one at a time without replacement until you get a red pen. What is the probability that you draw exactly 3 pens before getting the first red pen? Show the sequential probability reasoning and multiply correctly.",reasoning,mid,CLEAR,mid,This is a sequential probability problem requiring stepwise reasoning and multiplication of probabilities. It is moderately complex due to the sequential aspect.,openai:gpt-4.1
A bus can seat 45 passengers. A school has 312 students going on a trip. How many buses are needed? Explain why rounding rules matter differently here than in a standard calculation.,reasoning,low,CLEAR,low,The prompt is a direct division and rounding problem with a brief explanation. The reasoning is simple and bounded.,openai:gpt-4.1
"A bus travels between two cities. Going: 3 hours at 80 km/h. Return: same distance at 60 km/h. What is the average speed for the entire round trip? Explain why you cannot simply average 80 and 60, and show the harmonic mean reasoning.",reasoning,mid,CLEAR,mid,"The prompt requires understanding and applying the harmonic mean, and explaining why a simple average is incorrect. This involves moderate conceptual reasoning.",openai:gpt-4.1
"A car depreciates by 15% each year. If it is worth $20,000 today, what will it be worth in 2 years? Show the compound depreciation calculation and explain why you cannot simply subtract 30%.",reasoning,low,CLEAR,low,This is a straightforward compound depreciation calculation with a brief explanation. The steps are simple and direct.,openai:gpt-4.1
"A car loan of $18,000 is taken at 7% annual interest over 4 years using simple interest. What is the total amount repaid? Now if compound interest is used instead at the same rate, what is the total repaid? Show both calculations and explain the difference in outcome.",reasoning,mid,CLEAR,mid,"The prompt requires calculating both simple and compound interest, comparing results, and explaining the difference. This involves multiple steps and conceptual explanation.",openai:gpt-4.1
"A car rental company charges $40 per day plus $0.15 per km. A competitor charges $25 per day plus $0.22 per km. For what number of kilometres per day are the two companies equal in cost? For a 3-day trip, at what daily distance does switching companies become beneficial? Show the algebraic reasoning.",reasoning,mid,CLEAR,mid,"The prompt requires setting up and solving algebraic equations for cost comparison, and reasoning about when switching is beneficial. This involves moderate algebraic and logical reasoning.",openai:gpt-4.1
"A car travels 150 km in 2.5 hours. What is the average speed in km/h? If it continues at that speed, how long will it take to travel another 90 km? Show your reasoning.",reasoning,low,CLEAR,low,"This prompt involves basic arithmetic and unit conversion, with a simple two-step reasoning process. It does not require advanced concepts or multi-layered reasoning.",openai:gpt-4.1
