id,prompt,intent,task_type,reasoning_chain_detected,d1,d2,d3,d4,d5,complexity_score,tier,complexity,original_complexity,research_signals,confidence,low_confidence_flag,task_description,expected_answer,prompting_techniques,prompt_type,phrasing_style,domain,source,augmentation_group,intent_d1_mismatch_flag,boundary_t12_flag,boundary_t23_flag,original_row_flag
v5_d1_025_001,Explain what a webhook is in two short paragraphs and give one simple example. Do not compare alternatives or design a solution.,FACTUAL,reasoning,False,0.25,0.5,0.25,0.0,0.0,0.2375,T1,low,,[],,False,d1_025_phase2_style,,,V5_D1_LOW,,,aug_v5,d1_025_phase2_style,False,False,False,False
v5_d1_025_002,Explain how a password reset token works in two short paragraphs and give one simple example. Do not compare alternatives or design a solution.,FACTUAL,reasoning,False,0.25,0.5,0.25,0.0,0.0,0.2375,T1,low,,[],,False,d1_025_phase2_style,,,V5_D1_LOW,,,aug_v5,d1_025_phase2_style,False,False,False,False
v5_d1_025_003,Explain what a cloud region means in two short paragraphs and give one simple example. Do not compare alternatives or design a solution.,FACTUAL,reasoning,False,0.25,0.5,0.25,0.0,0.0,0.2375,T1,low,,[],,False,d1_025_phase2_style,,,V5_D1_LOW,,,aug_v5,d1_025_phase2_style,False,False,False,False
v5_d1_025_004,Explain how a billing alert is triggered in two short paragraphs and give one simple example. Do not compare alternatives or design a solution.,FACTUAL,reasoning,False,0.25,0.5,0.25,0.0,0.0,0.2375,T1,low,,[],,False,d1_025_phase2_style,,,V5_D1_LOW,,,aug_v5,d1_025_phase2_style,False,False,False,False
v5_d1_025_005,Explain what a database index does in two short paragraphs and give one simple example. Do not compare alternatives or design a solution.,FACTUAL,reasoning,False,0.25,0.5,0.25,0.0,0.0,0.2375,T1,low,,[],,False,d1_025_phase2_style,,,V5_D1_LOW,,,aug_v5,d1_025_phase2_style,False,False,False,False
v5_d1_025_006,Explain how a support ticket priority is assigned in two short paragraphs and give one simple example. Do not compare alternatives or design a solution.,FACTUAL,reasoning,False,0.25,0.5,0.25,0.0,0.0,0.2375,T1,low,,[],,False,d1_025_phase2_style,,,V5_D1_LOW,,,aug_v5,d1_025_phase2_style,False,False,False,False
v5_d1_025_007,Explain what SOC 2 means at a high level in two short paragraphs and give one simple example. Do not compare alternatives or design a solution.,FACTUAL,reasoning,False,0.25,0.5,0.25,0.0,0.0,0.2375,T1,low,,[],,False,d1_025_phase2_style,,,V5_D1_LOW,,,aug_v5,d1_025_phase2_style,False,False,False,False
v5_d1_025_008,Explain how a CSV import validates columns in two short paragraphs and give one simple example. Do not compare alternatives or design a solution.,FACTUAL,reasoning,False,0.25,0.5,0.25,0.0,0.0,0.2375,T1,low,,[],,False,d1_025_phase2_style,,,V5_D1_LOW,,,aug_v5,d1_025_phase2_style,False,False,False,False
v5_d1_025_009,Explain what an API rate limit is in two short paragraphs and give one simple example. Do not compare alternatives or design a solution.,FACTUAL,reasoning,False,0.25,0.5,0.25,0.0,0.0,0.2375,T1,low,,[],,False,d1_025_phase2_style,,,V5_D1_LOW,,,aug_v5,d1_025_phase2_style,False,False,False,False
v5_d1_025_010,Explain how a feature flag is turned on in two short paragraphs and give one simple example. Do not compare alternatives or design a solution.,FACTUAL,reasoning,False,0.25,0.5,0.25,0.0,0.0,0.2375,T1,low,,[],,False,d1_025_phase2_style,,,V5_D1_LOW,,,aug_v5,d1_025_phase2_style,False,False,False,False
v5_d1_025_011,Explain what a DNS record does in two short paragraphs and give one simple example. Do not compare alternatives or design a solution.,FACTUAL,reasoning,False,0.25,0.5,0.25,0.0,0.0,0.2375,T1,low,,[],,False,d1_025_phase2_style,,,V5_D1_LOW,,,aug_v5,d1_025_phase2_style,False,False,False,False
v5_d1_025_012,Explain how a meeting summary should be structured in two short paragraphs and give one simple example. Do not compare alternatives or design a solution.,FACTUAL,reasoning,False,0.25,0.5,0.25,0.0,0.0,0.2375,T1,low,,[],,False,d1_025_phase2_style,,,V5_D1_LOW,,,aug_v5,d1_025_phase2_style,False,False,False,False
v5_d1_100_001,"Design a strategic plan for enterprise AI incident response. It must synthesize security, legal, customer communications, model rollback, and executive reporting. Include alternative architectures, operating model changes, risk tradeoffs, phased rollout, governance metrics, and a final executive recommendation.",STRATEGIC,reasoning,True,1.0,1.0,1.0,0.75,0.75,0.9375,T3,high,,"[""security"", ""ai_governance"", ""regulatory_compliance""]",,False,d1_100_phase2_style,,,V5_D1_HIGH,,,aug_v5,d1_100_phase2_style,False,False,False,False
v5_d1_100_002,"Design a strategic plan for multi-cloud cost governance. It must synthesize AWS, Azure, forecasting, unit economics, procurement, and engineering ownership. Include alternative architectures, operating model changes, risk tradeoffs, phased rollout, governance metrics, and a final executive recommendation.",STRATEGIC,reasoning,True,1.0,1.0,1.0,0.75,0.75,0.9375,T3,high,,"[""finops"", ""cloud_infrastructure"", ""vendor_analysis""]",,False,d1_100_phase2_style,,,V5_D1_HIGH,,,aug_v5,d1_100_phase2_style,False,False,False,False
v5_d1_100_003,"Design a strategic plan for global HR analytics rollout. It must synthesize EU AI Act, bias testing, Workday workflows, regional approvals, and employee appeals. Include alternative architectures, operating model changes, risk tradeoffs, phased rollout, governance metrics, and a final executive recommendation.",STRATEGIC,reasoning,True,1.0,1.0,1.0,0.75,0.75,0.9375,T3,high,,"[""hr_tech"", ""ai_governance"", ""regulatory_compliance""]",,False,d1_100_phase2_style,,,V5_D1_HIGH,,,aug_v5,d1_100_phase2_style,False,False,False,False
v5_d1_100_004,"Design a strategic plan for data platform operating model. It must synthesize Snowflake, Databricks, data contracts, lineage, quality SLAs, and executive dashboards. Include alternative architectures, operating model changes, risk tradeoffs, phased rollout, governance metrics, and a final executive recommendation.",STRATEGIC,reasoning,True,1.0,1.0,1.0,0.75,0.75,0.9375,T3,high,,"[""data_engineering"", ""cloud_infrastructure""]",,False,d1_100_phase2_style,,,V5_D1_HIGH,,,aug_v5,d1_100_phase2_style,False,False,False,False
v5_d1_100_005,"Design a strategic plan for supply chain risk control tower. It must synthesize supplier concentration, inventory buffers, geopolitical risk, and logistics options. Include alternative architectures, operating model changes, risk tradeoffs, phased rollout, governance metrics, and a final executive recommendation.",STRATEGIC,reasoning,True,1.0,1.0,1.0,0.75,0.75,0.9375,T3,high,,"[""supply_chain"", ""market_research""]",,False,d1_100_phase2_style,,,V5_D1_HIGH,,,aug_v5,d1_100_phase2_style,False,False,False,False
v5_d1_100_006,"Design a strategic plan for zero trust transformation. It must synthesize identity sprawl, audit findings, vendor access, board funding, and phased adoption. Include alternative architectures, operating model changes, risk tradeoffs, phased rollout, governance metrics, and a final executive recommendation.",STRATEGIC,reasoning,True,1.0,1.0,1.0,0.75,0.75,0.9375,T3,high,,"[""security"", ""vendor_analysis""]",,False,d1_100_phase2_style,,,V5_D1_HIGH,,,aug_v5,d1_100_phase2_style,False,False,False,False
v5_d1_100_007,"Design a strategic plan for GenAI procurement strategy. It must synthesize vendor scoring, retention terms, evaluation datasets, legal review, and deployment architecture. Include alternative architectures, operating model changes, risk tradeoffs, phased rollout, governance metrics, and a final executive recommendation.",STRATEGIC,reasoning,True,1.0,1.0,1.0,0.75,0.75,0.9375,T3,high,,"[""vendor_analysis"", ""ai_governance""]",,False,d1_100_phase2_style,,,V5_D1_HIGH,,,aug_v5,d1_100_phase2_style,False,False,False,False
v5_d1_100_008,"Design a strategic plan for regulatory evidence automation. It must synthesize SOX controls, audit trails, owners, exceptions, and workflow approvals. Include alternative architectures, operating model changes, risk tradeoffs, phased rollout, governance metrics, and a final executive recommendation.",STRATEGIC,reasoning,True,1.0,1.0,1.0,0.75,0.75,0.9375,T3,high,,"[""regulatory_compliance"", ""system_integration""]",,False,d1_100_phase2_style,,,V5_D1_HIGH,,,aug_v5,d1_100_phase2_style,False,False,False,False
v5_d2_low_001,Explain caching in simple terms with one everyday example.,FACTUAL,reasoning,False,0.25,0.0,0.25,0.0,0.0,0.1375,T1,low,,[],,False,d2_contrast_low,,,V5_D2_LOW,,,aug_v5,d2_contrast_low,False,False,False,False
v5_d2_high_001,"Explain Redis cache eviction, TTL strategy, and cache stampede prevention for a Kubernetes-hosted API.",ANALYTICAL,reasoning,True,0.5,1.0,0.75,0.0,0.5,0.575,T2,medium,,[],,False,d2_contrast_high,,,V5_D2_HIGH,,,aug_v5,d2_contrast_high,False,False,False,False
v5_d2_low_002,Write a simple function that checks whether a number is positive.,ANALYTICAL,coding,True,0.5,0.0,0.5,0.0,0.0,0.275,T1,low,,[],,False,d2_contrast_low,,,V5_D2_LOW,,,aug_v5,d2_contrast_low,False,False,False,False
v5_d2_high_002,"Write a Python validator for HL7 FHIR Patient resources, including identifier systems, date normalization, and required field errors.",ANALYTICAL,coding,True,0.5,1.0,0.75,0.0,0.5,0.575,T2,medium,,[],,False,d2_contrast_high,,,V5_D2_HIGH,,,aug_v5,d2_contrast_high,False,False,False,False
v5_d2_low_003,Summarize this short team update in three bullets.,ANALYTICAL,reasoning,True,0.5,0.0,0.5,0.0,0.0,0.275,T1,low,,[],,False,d2_contrast_low,,,V5_D2_LOW,,,aug_v5,d2_contrast_low,False,False,False,False
v5_d2_high_003,"Summarize this SOC 2 evidence packet into control IDs, exception owners, audit impact, and remediation due dates.",ANALYTICAL,reasoning,True,0.5,1.0,0.75,0.25,0.5,0.6125,T2,medium,,"[""regulatory_compliance""]",,False,d2_contrast_high,,,V5_D2_HIGH,,,aug_v5,d2_contrast_high,False,False,False,False
v5_d2_low_004,Compare email and chat for quick communication.,ANALYTICAL,reasoning,True,0.5,0.0,0.5,0.0,0.0,0.275,T1,low,,[],,False,d2_contrast_low,,,V5_D2_LOW,,,aug_v5,d2_contrast_low,False,False,False,False
v5_d2_high_004,"Compare AWS Control Tower, Azure Policy, and Terraform Cloud for multi-account governance and drift remediation.",SYNTHETIC,reasoning,True,0.75,1.0,0.75,0.0,0.5,0.6625,T2,medium,,[],,False,d2_contrast_high,,,V5_D2_HIGH,,,aug_v5,d2_contrast_high,False,False,True,False
v5_d2_low_005,Classify these fruits as citrus or non-citrus.,ANALYTICAL,classification,False,0.5,0.0,0.25,0.0,0.0,0.225,T1,low,,[],,False,d2_contrast_low,,,V5_D2_LOW,,,aug_v5,d2_contrast_low,False,False,False,False
v5_d2_high_005,"Classify Kubernetes admission controller violations by CIS benchmark category, severity, and remediation owner.",ANALYTICAL,classification,True,0.5,1.0,0.75,0.0,0.5,0.575,T2,medium,,[],,False,d2_contrast_high,,,V5_D2_HIGH,,,aug_v5,d2_contrast_high,False,False,False,False
v5_d2_low_006,Create a checklist for packing for a short trip.,ANALYTICAL,reasoning,True,0.5,0.0,0.5,0.0,0.0,0.275,T1,low,,[],,False,d2_contrast_low,,,V5_D2_LOW,,,aug_v5,d2_contrast_low,False,False,False,False
v5_d2_high_006,"Create a PCI-DSS evidence checklist for payment data flows across Snowflake, S3, IAM, and vendor support access.",ANALYTICAL,reasoning,True,0.75,1.0,0.75,0.25,0.5,0.7,T3,high,,"[""regulatory_compliance""]",,False,d2_contrast_high,,,V5_D2_HIGH,,,aug_v5,d2_contrast_high,True,False,True,False
v5_d2_low_007,Explain what monitoring means for a website.,FACTUAL,reasoning,False,0.25,0.0,0.25,0.0,0.0,0.1375,T1,low,,[],,False,d2_contrast_low,,,V5_D2_LOW,,,aug_v5,d2_contrast_low,False,False,False,False
v5_d2_high_007,"Explain OpenTelemetry trace sampling, Prometheus cardinality risk, and SLO burn-rate alerting for a microservices platform.",ANALYTICAL,reasoning,True,0.5,1.0,0.75,0.0,0.5,0.575,T2,medium,,[],,False,d2_contrast_high,,,V5_D2_HIGH,,,aug_v5,d2_contrast_high,False,False,False,False
v5_d2_low_008,Draft a simple plan for organizing a team lunch.,ANALYTICAL,reasoning,True,0.5,0.0,0.5,0.0,0.0,0.275,T1,low,,[],,False,d2_contrast_low,,,V5_D2_LOW,,,aug_v5,d2_contrast_low,False,False,False,False
v5_d2_high_008,"Draft a NIST-aligned incident response tabletop plan for ransomware recovery across Active Directory, backups, and cloud workloads.",SYNTHETIC,reasoning,True,0.75,1.0,0.75,0.25,0.5,0.7,T3,high,,"[""regulatory_compliance""]",,False,d2_contrast_high,,,V5_D2_HIGH,,,aug_v5,d2_contrast_high,False,False,True,False
v5_boundary_d1d2_t2_001,"Using the provided internal notes about cloud cost allocation, analyze AWS linked accounts, shared NAT gateways, showback, owner tags. Produce a practical recommendation for the current team, with assumptions and next steps.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.25,0.5,0.65,T2,medium,,"[""external_research""]",,False,boundary_d1d2_t2,,,V5_BOUNDARY_D1D2_T2,,,aug_v5,boundary_d1d2_t2,False,False,True,False
v5_boundary_d1d2_t3_001,"Using the provided internal notes about cloud cost allocation, analyze AWS linked accounts, shared NAT gateways, showback, owner tags. Compare current vendor guidance, regulatory expectations, and external benchmarks, then create an executive rollout recommendation.",SYNTHETIC,reasoning,True,0.75,1.0,0.75,0.75,0.5,0.775,T3,high,,"[""finops"", ""cloud_infrastructure""]",,False,boundary_d1d2_t3,,,V5_BOUNDARY_D1D2_T3,,,aug_v5,boundary_d1d2_t3,False,False,False,False
v5_boundary_d1d2_t2_002,"Using the provided internal notes about security exception triage, analyze SOC 2 control gap, compensating controls, vendor renewal. Produce a practical recommendation for the current team, with assumptions and next steps.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.25,0.5,0.65,T2,medium,,"[""external_research""]",,False,boundary_d1d2_t2,,,V5_BOUNDARY_D1D2_T2,,,aug_v5,boundary_d1d2_t2,False,False,True,False
v5_boundary_d1d2_t3_002,"Using the provided internal notes about security exception triage, analyze SOC 2 control gap, compensating controls, vendor renewal. Compare current vendor guidance, regulatory expectations, and external benchmarks, then create an executive rollout recommendation.",SYNTHETIC,reasoning,True,0.75,1.0,0.75,0.75,0.5,0.775,T3,high,,"[""security"", ""vendor_analysis""]",,False,boundary_d1d2_t3,,,V5_BOUNDARY_D1D2_T3,,,aug_v5,boundary_d1d2_t3,False,False,False,False
v5_boundary_d1d2_t2_003,"Using the provided internal notes about data quality rollout, analyze dbt tests, dashboard SLAs, lineage, executive adoption. Produce a practical recommendation for the current team, with assumptions and next steps.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.25,0.5,0.65,T2,medium,,"[""external_research""]",,False,boundary_d1d2_t2,,,V5_BOUNDARY_D1D2_T2,,,aug_v5,boundary_d1d2_t2,False,False,True,False
v5_boundary_d1d2_t3_003,"Using the provided internal notes about data quality rollout, analyze dbt tests, dashboard SLAs, lineage, executive adoption. Compare current vendor guidance, regulatory expectations, and external benchmarks, then create an executive rollout recommendation.",SYNTHETIC,reasoning,True,0.75,1.0,0.75,0.75,0.5,0.775,T3,high,,"[""data_engineering""]",,False,boundary_d1d2_t3,,,V5_BOUNDARY_D1D2_T3,,,aug_v5,boundary_d1d2_t3,False,False,False,False
v5_boundary_d1d2_t2_004,"Using the provided internal notes about AI governance review, analyze model cards, retention, bias tests, legal approval. Produce a practical recommendation for the current team, with assumptions and next steps.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.25,0.5,0.65,T2,medium,,"[""external_research""]",,False,boundary_d1d2_t2,,,V5_BOUNDARY_D1D2_T2,,,aug_v5,boundary_d1d2_t2,False,False,True,False
v5_boundary_d1d2_t3_004,"Using the provided internal notes about AI governance review, analyze model cards, retention, bias tests, legal approval. Compare current vendor guidance, regulatory expectations, and external benchmarks, then create an executive rollout recommendation.",SYNTHETIC,reasoning,True,0.75,1.0,0.75,0.75,0.5,0.775,T3,high,,"[""ai_governance"", ""regulatory_compliance""]",,False,boundary_d1d2_t3,,,V5_BOUNDARY_D1D2_T3,,,aug_v5,boundary_d1d2_t3,False,False,False,False
v5_boundary_d1d2_t2_005,"Using the provided internal notes about DevOps reliability plan, analyze failed deployments, rollback, SRE escalation, error budgets. Produce a practical recommendation for the current team, with assumptions and next steps.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.25,0.5,0.65,T2,medium,,"[""external_research""]",,False,boundary_d1d2_t2,,,V5_BOUNDARY_D1D2_T2,,,aug_v5,boundary_d1d2_t2,False,False,True,False
