prompt,complexity
List three benefits of using a smartphone in daily life,low
Explain what the internet is in simple terms,low
Compare online shopping and offline shopping,low
Describe how you send a message using a mobile app,low
List three features of a good website,low
Explain why passwords are important for security,low
List common problems faced while using mobile apps,low
Describe how a search engine works in simple terms,low
Compare watching TV and streaming videos online,low
Explain what a software update is,low
List three uses of artificial intelligence in daily life,low
Explain what cloud storage means with an example,low
Describe how GPS helps in navigation,low
Compare books and online articles for learning,low
Explain what a database is in simple terms,low
List three reasons why apps ask for permissions,low
Explain how email works step by step,low
Describe what happens when you download a file,low
Compare laptops and smartphones,low
Explain why backups are important,low
List ways to improve internet speed at home,low
Explain what an operating system does,low
Describe how online payments work,low
Compare Android and iOS phones,low
Explain what a file format is,low
List three advantages of using social media,low
Explain how notifications work in apps,low
Describe how to create an email account,low
Compare emails and instant messaging,low
Explain why strong passwords are needed,low
List common reasons for slow internet,low
Explain how apps store data,low
Describe how a website loads,low
Compare online learning and classroom learning,low
Explain what a browser does,low
List three ways to protect personal data online,low
Explain how search results are shown,low
Describe how to reset a password,low
Compare texting and calling,low
Explain what cookies are in websites,low
List three features of a good mobile app,low
Explain how video streaming works,low
Describe how to install an app on a phone,low
Compare laptops and tablets,low
Explain what WiFi is in simple terms,low
List reasons why people use cloud storage,low
Explain how maps apps find routes,low
Describe how to delete files safely,low
Compare online games and offline games,low
Explain what a username is,low
Identify whether a sentence is formal or informal and rewrite it appropriately,low
Summarize a short paragraph in one sentence,low
Rewrite a sentence to make it clearer without changing meaning,low
Identify the main idea of a short text,low
List steps to solve a simple everyday problem like finding a lost item,low
Explain a simple process using numbered steps,low
Convert a short paragraph into bullet points,low
Identify two differences between given options and explain briefly,low
Reorder steps of a process into correct sequence,low
Identify missing information in a short instruction,low
Choose the best option from a list based on given criteria,low
Explain a simple cause and effect relationship,low
Classify items into categories based on features,low
Identify errors in a simple instruction and correct them,low
Explain why a basic rule exists using an example,low
Match problems with appropriate solutions from a list,low
Fill missing steps in a basic process description,low
Identify similarities between two simple objects,low
Rewrite informal text into formal language,low
Explain a simple concept using an analogy,low
List possible outcomes of a simple action,low
Identify which option does not belong in a group and explain,low
Explain how two things are connected in simple terms,low
Describe a situation using three clear steps,low
Identify a mistake in a short example and correct it,low
Compare two choices and pick one with reason,low
List three examples for a given category,low
Explain what might happen next in a simple scenario,low
Identify the purpose of a short instruction,low
Describe how to improve a simple process,low
Explain a basic rule using a real-life example,low
Identify steps needed before starting a task,low
Describe a sequence of events in order,low
Explain how to avoid a simple mistake,low
List possible reasons for a common issue,low
Identify key points in a short explanation,low
Rewrite a sentence to make it shorter,low
Explain a basic idea using fewer words,low
Identify correct vs incorrect statements,low
List steps to complete a simple task,low
Explain why a choice is better than another,low
Describe how to fix a small problem,low
Identify what information is missing from a description,low
Explain what happens before and after an action,low
Compare two small tasks and identify which is easier,low
List reasons why something might fail,low
Explain how to check if something is working,low
Identify a pattern in simple data,low
Describe a simple daily routine,low
